section,category,metric,type,date,value
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-19,15871
Vaccine Administration,Administration,Daily,Moderna,2021-01-19,7621
Vaccine Administration,Administration,Daily,Pfizer,2021-01-19,8245
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-19,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-20,400344
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-20,195532
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-20,204717
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-20,94
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-20,25548
Vaccine Administration,Administration,Daily,Moderna,2021-01-20,15959
Vaccine Administration,Administration,Daily,Pfizer,2021-01-20,9582
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-20,8
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-21,429417
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-21,211139
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-21,218181
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-21,96
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-21,29073
Vaccine Administration,Administration,Daily,Moderna,2021-01-21,15607
Vaccine Administration,Administration,Daily,Pfizer,2021-01-21,13464
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-21,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-22,457221
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-22,225989
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-22,231132
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-22,104
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-22,27804
Vaccine Administration,Administration,Daily,Moderna,2021-01-22,14850
Vaccine Administration,Administration,Daily,Pfizer,2021-01-22,12951
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-22,8
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-23,472803
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-23,234301
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-23,238398
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-23,109
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-23,15582
Vaccine Administration,Administration,Daily,Moderna,2021-01-23,8312
Vaccine Administration,Administration,Daily,Pfizer,2021-01-23,7266
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-23,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-24,479508
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-24,237739
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-24,241663
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-24,111
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-24,606987
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-24,311231
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-24,295593
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-24,144
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-24,6705
Vaccine Administration,Administration,Daily,Moderna,2021-01-24,3438
Vaccine Administration,Administration,Daily,Pfizer,2021-01-24,3265
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-24,2
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-24,134160
Vaccine Administration,Administration,Weekly,Moderna,2021-01-24,76930
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-24,57195
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-24,35
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-24,760950
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-24,466500
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-24,294450
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-24,137500
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-24,75100
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-24,62400
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-25,497151
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-25,250793
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-25,246247
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-25,116
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-25,17643
Vaccine Administration,Administration,Daily,Moderna,2021-01-25,13054
Vaccine Administration,Administration,Daily,Pfizer,2021-01-25,4584
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-25,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-26,515890
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-26,264323
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-26,251455
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-26,118
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-26,18739
Vaccine Administration,Administration,Daily,Moderna,2021-01-26,13530
Vaccine Administration,Administration,Daily,Pfizer,2021-01-26,5208
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-26,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-27,541692
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-27,280415
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-27,261164
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-27,120
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-27,25802
Vaccine Administration,Administration,Daily,Moderna,2021-01-27,16092
Vaccine Administration,Administration,Daily,Pfizer,2021-01-27,9709
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-27,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-28,564298
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-28,294860
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-28,269322
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-28,126
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-28,22606
Vaccine Administration,Administration,Daily,Moderna,2021-01-28,14445
Vaccine Administration,Administration,Daily,Pfizer,2021-01-28,8158
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-28,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-29,588511
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-29,305247
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-29,283147
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-29,128
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-29,24213
Vaccine Administration,Administration,Daily,Moderna,2021-01-29,10387
Vaccine Administration,Administration,Daily,Pfizer,2021-01-29,13825
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-29,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-30,606955
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-30,311231
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-30,295593
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-30,144
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-30,18444
Vaccine Administration,Administration,Daily,Moderna,2021-01-30,5984
Vaccine Administration,Administration,Daily,Pfizer,2021-01-30,12446
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-30,16
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-31,616823
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-31,313802
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-31,302892
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-31,144
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-31,782412
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-31,396584
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-31,385625
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-31,184
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-31,9868
Vaccine Administration,Administration,Daily,Moderna,2021-01-31,2571
Vaccine Administration,Administration,Daily,Pfizer,2021-01-31,7299
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-31,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-31,175425
Vaccine Administration,Administration,Weekly,Moderna,2021-01-31,85353
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-31,90032
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-31,40
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-31,928600
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-31,554200
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-31,374400
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-31,167650
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-31,87700
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-31,79950
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-01,633854
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-01,321706
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-01,312017
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-01,146
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-01,17031
Vaccine Administration,Administration,Daily,Moderna,2021-02-01,7904
Vaccine Administration,Administration,Daily,Pfizer,2021-02-01,9125
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-01,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-02,655605
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-02,333013
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-02,322457
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-02,151
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-02,21751
Vaccine Administration,Administration,Daily,Moderna,2021-02-02,11307
Vaccine Administration,Administration,Daily,Pfizer,2021-02-02,10440
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-02,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-03,683499
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-03,347059
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-03,336303
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-03,158
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-03,27894
Vaccine Administration,Administration,Daily,Moderna,2021-02-03,14046
Vaccine Administration,Administration,Daily,Pfizer,2021-02-03,13846
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-03,7
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-04,718950
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-04,365770
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-04,353043
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-04,158
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-04,35451
Vaccine Administration,Administration,Daily,Moderna,2021-02-04,18711
Vaccine Administration,Administration,Daily,Pfizer,2021-02-04,16740
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-04,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-05,757270
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-05,385224
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-05,371907
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-05,162
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-05,38320
Vaccine Administration,Administration,Daily,Moderna,2021-02-05,19454
Vaccine Administration,Administration,Daily,Pfizer,2021-02-05,18864
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-05,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-06,782369
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-06,396584
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-06,385625
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-06,184
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-06,25099
Vaccine Administration,Administration,Daily,Moderna,2021-02-06,11360
Vaccine Administration,Administration,Daily,Pfizer,2021-02-06,13718
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-06,22
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-07,786431
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-07,398204
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-07,388066
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-07,185
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-02-07,1002386
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-02-07,502305
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-02-07,499847
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-02-07,215
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-07,4062
Vaccine Administration,Administration,Daily,Moderna,2021-02-07,1620
Vaccine Administration,Administration,Daily,Pfizer,2021-02-07,2441
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-07,1
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-02-07,219974
Vaccine Administration,Administration,Weekly,Moderna,2021-02-07,105721
Vaccine Administration,Administration,Weekly,Pfizer,2021-02-07,114222
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-02-07,31
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-02-07,1091500
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-02-07,639100
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-02-07,452400
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-02-07,162900
Vaccine Administration,Distribution,Weekly,Moderna,2021-02-07,84900
Vaccine Administration,Distribution,Weekly,Pfizer,2021-02-07,78000
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-08,811437
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-08,409557
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-08,401719
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-08,185
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-08,25006
Vaccine Administration,Administration,Daily,Moderna,2021-02-08,11353
Vaccine Administration,Administration,Daily,Pfizer,2021-02-08,13653
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-08,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-09,838788
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-09,422602
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-09,416023
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-09,187
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-09,27351
Vaccine Administration,Administration,Daily,Moderna,2021-02-09,13045
Vaccine Administration,Administration,Daily,Pfizer,2021-02-09,14304
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-09,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-10,870597
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-10,440932
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-10,429504
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-10,187
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-10,31809
Vaccine Administration,Administration,Daily,Moderna,2021-02-10,18330
Vaccine Administration,Administration,Daily,Pfizer,2021-02-10,13481
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-10,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-11,912779
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-11,462965
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-11,449652
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-11,189
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-11,42182
Vaccine Administration,Administration,Daily,Moderna,2021-02-11,22033
Vaccine Administration,Administration,Daily,Pfizer,2021-02-11,20148
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-11,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-12,955551
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-12,484736
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-12,470648
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-12,195
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-12,42772
Vaccine Administration,Administration,Daily,Moderna,2021-02-12,21771
Vaccine Administration,Administration,Daily,Pfizer,2021-02-12,20996
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-12,6
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-13,1002339
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-13,502305
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-13,499847
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-13,215
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-13,46788
Vaccine Administration,Administration,Daily,Moderna,2021-02-13,17569
Vaccine Administration,Administration,Daily,Pfizer,2021-02-13,29199
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-13,20
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-14,1023350
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-14,508804
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-14,514359
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-14,215
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-02-14,1117223
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-02-14,558381
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-02-14,558602
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-02-14,221
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-14,21011
Vaccine Administration,Administration,Daily,Moderna,2021-02-14,6499
Vaccine Administration,Administration,Daily,Pfizer,2021-02-14,14512
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-14,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-02-14,114837
Vaccine Administration,Administration,Weekly,Moderna,2021-02-14,56076
Vaccine Administration,Administration,Weekly,Pfizer,2021-02-14,58755
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-02-14,6
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-02-14,1114900
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-02-14,639100
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-02-14,475800
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-02-14,23400
Vaccine Administration,Distribution,Weekly,Moderna,2021-02-14,0
Vaccine Administration,Distribution,Weekly,Pfizer,2021-02-14,23400
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-15,1049463
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-15,520197
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-15,529078
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-15,216
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-15,26113
Vaccine Administration,Administration,Daily,Moderna,2021-02-15,11393
Vaccine Administration,Administration,Daily,Pfizer,2021-02-15,14719
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-15,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-16,1069979
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-16,532578
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-16,537213
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-16,217
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-16,20516
Vaccine Administration,Administration,Daily,Moderna,2021-02-16,12381
Vaccine Administration,Administration,Daily,Pfizer,2021-02-16,8135
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-16,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-17,1094686
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-17,545640
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-17,548858
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-17,218
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-17,24707
Vaccine Administration,Administration,Daily,Moderna,2021-02-17,13062
Vaccine Administration,Administration,Daily,Pfizer,2021-02-17,11645
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-17,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-02-18,1117173
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-02-18,558381
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-02-18,558602
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-02-18,221
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-02-18,22487
Vaccine Administration,Administration,Daily,Moderna,2021-02-18,12741
Vaccine Administration,Administration,Daily,Pfizer,2021-02-18,9744
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-02-18,3
Demographics,Age Group,0-9,All COVID Vaccines,NA,0
Demographics,Age Group,10-19,All COVID Vaccines,NA,0.0042
Demographics,Age Group,20-29,All COVID Vaccines,NA,0.0766
Demographics,Age Group,30-39,All COVID Vaccines,NA,0.115
Demographics,Age Group,40-49,All COVID Vaccines,NA,0.1085
Demographics,Age Group,50-59,All COVID Vaccines,NA,0.1003
Demographics,Age Group,60-69,All COVID Vaccines,NA,0.1495
Demographics,Age Group,70-79,All COVID Vaccines,NA,0.3071
Demographics,Age Group,80+,All COVID Vaccines,NA,0.1381
Demographics,Percent of Colorado Population,0-9,NA,NA,0.1161
Demographics,Percent of Colorado Population,10-19,NA,NA,0.1301
Demographics,Percent of Colorado Population,20-29,NA,NA,0.1466
Demographics,Percent of Colorado Population,30-39,NA,NA,0.146
Demographics,Percent of Colorado Population,40-49,NA,NA,0.1298
Demographics,Percent of Colorado Population,50-59,NA,NA,0.1248
Demographics,Percent of Colorado Population,60-69,NA,NA,0.1104
Demographics,Percent of Colorado Population,70-79,NA,NA,0.0644
Demographics,Percent of Colorado Population,80+,NA,NA,0.032
Demographics,Percent of Colorado Population,American Indian or Alaska Native,NA,NA,0.0056
Demographics,Percent of Colorado Population,Asian,NA,NA,0.0312
Demographics,Percent of Colorado Population,Black or African American,NA,NA,0.0392
Demographics,Percent of Colorado Population,Female,NA,NA,0.4996
Demographics,Percent of Colorado Population,"Hispanic, All Races",NA,NA,0.2169
Demographics,Percent of Colorado Population,Male,NA,NA,0.5004
Demographics,Percent of Colorado Population,Multiple Races - Non Hispanic,NA,NA,0.0265
Demographics,Percent of Colorado Population,Native Hawaiian or Other Pacific Islander,NA,NA,0.0012
Demographics,Percent of Colorado Population,Other,NA,NA,0.0019
Demographics,Percent of Colorado Population,White - Non Hispanic,NA,NA,0.6776
Demographics,Race and Ethnicity,American Indian or Alaskan Native - Non Hispanic,All COVID Vaccines,NA,0.0048
Demographics,Race and Ethnicity,Asian - Non Hispanic,All COVID Vaccines,NA,0.0175
Demographics,Race and Ethnicity,Black or African American - Non Hispanic,All COVID Vaccines,NA,0.0208
Demographics,Race and Ethnicity,"Hispanic, All Races",All COVID Vaccines,NA,0.0498
Demographics,Race and Ethnicity,Multi Race - Non Hispanic,All COVID Vaccines,NA,0.0164
Demographics,Race and Ethnicity,Native Hawaiian or Other Pacific Islander - Non Hispanic,All COVID Vaccines,NA,0.0017
Demographics,Race and Ethnicity,Other,All COVID Vaccines,NA,0.0016
Demographics,Race and Ethnicity,Unknown,All COVID Vaccines,NA,0.1461
Demographics,Race and Ethnicity,White - Non Hispanic,All COVID Vaccines,NA,0.7407
Demographics,Sex,Female,All COVID Vaccines,NA,0.612
Demographics,Sex,Male,All COVID Vaccines,NA,0.3849
Demographics,Sex,Unknown,All COVID Vaccines,NA,0.0025
County-level Data,Doses Administered,Adams County,Count,NA,76149
County-level Data,Doses Administered,Alamosa County,Count,NA,4335
County-level Data,Doses Administered,Arapahoe County,Count,NA,113815
County-level Data,Doses Administered,Archuleta County,Count,NA,4483
County-level Data,Doses Administered,Baca County,Count,NA,1014
County-level Data,Doses Administered,Bent County,Count,NA,653
County-level Data,Doses Administered,Boulder County,Count,NA,69917
County-level Data,Doses Administered,Broomfield County,Count,NA,16829
County-level Data,Doses Administered,Chaffee County,Count,NA,8049
County-level Data,Doses Administered,Cheyenne County,Count,NA,398
County-level Data,Doses Administered,Clear Creek County,Count,NA,1353
County-level Data,Doses Administered,Conejos County,Count,NA,1665
County-level Data,Doses Administered,Costilla County,Count,NA,1288
County-level Data,Doses Administered,Crowley County,Count,NA,718
County-level Data,Doses Administered,Custer County,Count,NA,1304
County-level Data,Doses Administered,Delta County,Count,NA,5292
County-level Data,Doses Administered,Denver County,Count,NA,142366
County-level Data,Doses Administered,Dolores County,Count,NA,503
County-level Data,Doses Administered,Douglas County,Count,NA,67101
County-level Data,Doses Administered,Eagle County,Count,NA,14205
County-level Data,Doses Administered,El Paso County,Count,NA,105664
County-level Data,Doses Administered,Elbert County,Count,NA,2530
County-level Data,Doses Administered,Fremont County,Count,NA,9718
County-level Data,Doses Administered,Garfield County,Count,NA,14169
County-level Data,Doses Administered,Gilpin County,Count,NA,1105
County-level Data,Doses Administered,Grand County,Count,NA,2816
County-level Data,Doses Administered,Gunnison County,Count,NA,5159
County-level Data,Doses Administered,Hinsdale County,Count,NA,398
County-level Data,Doses Administered,Huerfano County,Count,NA,2076
County-level Data,Doses Administered,Jackson County,Count,NA,332
County-level Data,Doses Administered,Jefferson County,Count,NA,132226
County-level Data,Doses Administered,Kiowa County,Count,NA,497
County-level Data,Doses Administered,Kit Carson County,Count,NA,1379
County-level Data,Doses Administered,La Plata County,Count,NA,15314
County-level Data,Doses Administered,Lake County,Count,NA,1770
County-level Data,Doses Administered,Larimer County,Count,NA,75258
County-level Data,Doses Administered,Las Animas County,Count,NA,4920
County-level Data,Doses Administered,Lincoln County,Count,NA,1166
County-level Data,Doses Administered,Logan County,Count,NA,4345
